SystemTime_ISO,MsgType,FC_Time_us,body_pitch_rate,body_roll_rate,body_yaw_rate,mavpackettype,q,thrust,type_mask
2025-12-15 01:43:39.560,ATTITUDE_TARGET,4185542,-3.167540126014501e-05,3.4737149690045044e-05,-1.6504697608610286e-10,ATTITUDE_TARGET,"[0.6553046703338623, -3.501741957734339e-06, -4.111634552828036e-07, 0.7553647756576538]",0.0,0
2025-12-15 01:43:39.660,ATTITUDE_TARGET,4185642,-3.16753976221662e-05,3.4737149690045044e-05,-1.6504694833052724e-10,ATTITUDE_TARGET,"[0.6553032994270325, -3.5017412756133126e-06, -4.1116973648058774e-07, 0.7553659081459045]",0.0,0
2025-12-15 01:43:39.760,ATTITUDE_TARGET,4185742,-3.1675404898123816e-05,3.4737149690045044e-05,-1.6504698996389067e-10,ATTITUDE_TARGET,"[0.6553241610527039, -3.5017528716707602e-06, -4.110727616080112e-07, 0.7553477883338928]",0.0,0
2025-12-15 01:43:39.861,ATTITUDE_TARGET,4185842,-3.1675404898123816e-05,3.473713877610862e-05,-1.6504694833052724e-10,ATTITUDE_TARGET,"[0.6553471088409424, -3.5017646951018833e-06, -4.109659812456812e-07, 0.7553279399871826]",0.0,0
2025-12-15 01:43:39.960,ATTITUDE_TARGET,4185942,-3.1675404898123816e-05,3.4737135138129815e-05,-1.6504693445273944e-10,ATTITUDE_TARGET,"[0.6553628444671631, -3.5017731079278747e-06, -4.108929090307356e-07, 0.755314290523529]",0.0,0
2025-12-15 01:43:40.059,ATTITUDE_TARGET,4186042,-3.16753976221662e-05,3.473713877610862e-05,-1.6504690669716382e-10,ATTITUDE_TARGET,"[0.655351996421814, -3.501767196212313e-06, -4.1094352809523116e-07, 0.7553237080574036]",0.0,0
2025-12-15 01:43:40.160,ATTITUDE_TARGET,4186142,-3.16753976221662e-05,3.4737135138129815e-05,-1.65046892819376e-10,ATTITUDE_TARGET,"[0.6553500294685364, -3.5017658319702605e-06, -4.1095250935541117e-07, 0.7553253769874573]",0.0,0
2025-12-15 01:43:40.260,ATTITUDE_TARGET,4186242,-3.167540126014501e-05,3.473713877610862e-05,-1.6504693445273944e-10,ATTITUDE_TARGET,"[0.6553619503974915, -3.5017728805541992e-06, -4.108971154437313e-07, 0.7553150057792664]",0.0,0
2025-12-15 01:43:40.359,ATTITUDE_TARGET,4186342,-3.1675404898123816e-05,3.4737149690045044e-05,-1.6504698996389067e-10,ATTITUDE_TARGET,"[0.6553546786308289, -3.5017694699490676e-06, -4.1093144886872324e-07, 0.7553213834762573]",0.0,0
2025-12-15 01:43:40.459,ATTITUDE_TARGET,4186442,-3.167541217408143e-05,3.473714605206624e-05,-1.6504701771946628e-10,ATTITUDE_TARGET,"[0.6553786993026733, -3.5017828849959187e-06, -4.1081926838160143e-07, 0.7553004622459412]",0.0,0
2025-12-15 01:43:40.559,ATTITUDE_TARGET,4186542,-3.167541581206024e-05,3.473713877610862e-05,-1.6504700384167847e-10,ATTITUDE_TARGET,"[0.6554290652275085, -3.5018103972106474e-06, -4.105853577129892e-07, 0.755256712436676]",0.0,0
2025-12-15 01:43:40.659,ATTITUDE_TARGET,4186642,-3.167541581206024e-05,3.473713877610862e-05,-1.6504700384167847e-10,ATTITUDE_TARGET,"[0.655492901802063, -3.5018447306356393e-06, -4.1028934560927155e-07, 0.7552013993263245]",0.0,0
2025-12-15 01:43:40.759,ATTITUDE_TARGET,4186744,-3.167541217408143e-05,3.4737135138129815e-05,-1.6504697608610286e-10,ATTITUDE_TARGET,"[0.6555202603340149, -3.501859055177192e-06, -4.101626416286308e-07, 0.7551776766777039]",0.0,0
2025-12-15 01:43:40.859,ATTITUDE_TARGET,4186844,-3.167541217408143e-05,3.4737135138129815e-05,-1.6504696220831505e-10,ATTITUDE_TARGET,"[0.6555282473564148, -3.5018638300243765e-06, -4.101250681287638e-07, 0.7551706433296204]",0.0,0
2025-12-15 01:43:40.959,ATTITUDE_TARGET,4186944,-3.1675419450039044e-05,3.47371278621722e-05,-1.6504696220831505e-10,ATTITUDE_TARGET,"[0.6555230021476746, -3.5018608741665957e-06, -4.1014902762981365e-07, 0.7551752328872681]",0.0,0
2025-12-15 01:43:41.060,ATTITUDE_TARGET,4187042,-3.1675419450039044e-05,3.4737135138129815e-05,-1.6504698996389067e-10,ATTITUDE_TARGET,"[0.655522882938385, -3.501861101540271e-06, -4.1014988028109656e-07, 0.7551753520965576]",0.0,0
2025-12-15 01:43:41.159,ATTITUDE_TARGET,4187142,-3.1675419450039044e-05,3.4737135138129815e-05,-1.6504698996389067e-10,ATTITUDE_TARGET,"[0.6554938554763794, -3.5018449580093147e-06, -4.1028459918379667e-07, 0.7552006244659424]",0.0,0
2025-12-15 01:43:41.259,ATTITUDE_TARGET,4187242,-3.167541217408143e-05,3.4737135138129815e-05,-1.6504696220831505e-10,ATTITUDE_TARGET,"[0.6554864048957825, -3.5018408652831567e-06, -4.1031944419955835e-07, 0.7552069425582886]",0.0,0
2025-12-15 01:43:41.359,ATTITUDE_TARGET,4187342,-3.167541217408143e-05,3.473713877610862e-05,-1.6504698996389067e-10,ATTITUDE_TARGET,"[0.6554974317550659, -3.501847231746069e-06, -4.1026851249625906e-07, 0.7551974058151245]",0.0,0
2025-12-15 01:43:41.459,ATTITUDE_TARGET,4187442,-3.167540853610262e-05,3.4737135138129815e-05,-1.6504693445273944e-10,ATTITUDE_TARGET,"[0.6554970145225525, -3.5018470043723937e-06, -4.1027044517250033e-07, 0.7551978826522827]",0.0,0
